Instance_ID,Method,Time,Size,Fold
30,Majoritary (SAT),0.03000664710998535,10,2
30,Majoritary (SMT),0.5879905223846436,11,2
30,Sufficient (SAT),0.21500420570373535,10,2
30,Sufficient (SMT),0.7239956855773926,3,2
33,Direct,0.0,47,2
33,Majoritary (SAT),0.017967700958251953,5,2
33,Majoritary (SMT),0.6520328521728516,10,2
33,Sufficient (SAT),0.23800015449523926,13,2
33,Sufficient (SMT),0.7910034656524658,5,2
64,Direct,0.0009953975677490234,50,2
64,Majoritary (SAT),0.02300286293029785,8,2
64,Majoritary (SMT),0.597963809967041,11,2
64,Sufficient (SAT),0.31703901290893555,13,2
64,Sufficient (SMT),0.7479591369628906,5,2
89,Direct,0.001065969467163086,46,2
89,Majoritary (SAT),0.0169370174407959,6,2
89,Majoritary (SMT),0.6899962425231934,12,2
89,Sufficient (SAT),0.2330036163330078,13,2
89,Sufficient (SMT),0.7210321426391602,4,2
94,Direct,0.0,50,2
94,Majoritary (SAT),0.025037288665771484,9,2
94,Majoritary (SMT),0.6539983749389648,10,2
94,Sufficient (SAT),0.23300385475158691,10,2
94,Sufficient (SMT),0.7119956016540527,3,2
114,Direct,0.0010013580322265625,48,2
114,Majoritary (SAT),0.026000022888183594,9,2
114,Majoritary (SMT),0.5979998111724854,11,2
114,Sufficient (SAT),0.2969999313354492,13,2
114,Sufficient (SMT),0.7099666595458984,3,2
120,Direct,0.0009970664978027344,62,2
120,Majoritary (SAT),0.021001338958740234,7,2
120,Majoritary (SMT),0.6480000019073486,12,2
120,Sufficient (SAT),0.20499944686889648,6,2
120,Sufficient (SMT),0.7889997959136963,3,2
143,Direct,0.0010044574737548828,69,2
143,Majoritary (SAT),0.024029254913330078,9,2
143,Majoritary (SMT),0.6199641227722168,12,2
143,Sufficient (SAT),0.21900081634521484,10,2
143,Sufficient (SMT),0.8570024967193604,5,2
150,Direct,0.0010328292846679688,56,2
150,Majoritary (SAT),0.02296304702758789,8,2
150,Majoritary (SMT),0.6120023727416992,12,2
150,Sufficient (SAT),0.23503518104553223,13,2
150,Sufficient (SMT),0.7689642906188965,6,2
164,Direct,0.0010335445404052734,48,2
164,Majoritary (SAT),0.02499985694885254,10,2
164,Majoritary (SMT),0.6780009269714355,10,2
164,Sufficient (SAT),0.2200016975402832,11,2
164,Sufficient (SMT),0.7349653244018555,3,2
165,Direct,0.0009772777557373047,45,2
165,Majoritary (SAT),0.027002334594726562,10,2
165,Majoritary (SMT),0.6480395793914795,12,2
165,Sufficient (SAT),0.2999601364135742,13,2
165,Sufficient (SMT),0.770003080368042,6,2
166,Direct,0.000997781753540039,40,2
166,Majoritary (SAT),0.022032976150512695,6,2
166,Majoritary (SMT),0.6269657611846924,10,2
166,Sufficient (SAT),0.2290353775024414,11,2
166,Sufficient (SMT),0.7289977073669434,4,2
179,Direct,0.0010004043579101562,64,2
179,Majoritary (SAT),0.022001981735229492,9,2
179,Majoritary (SMT),0.6039974689483643,12,2
179,Sufficient (SAT),0.24796605110168457,13,2
179,Sufficient (SMT),0.7750370502471924,4,2
183,Direct,0.0,47,2
183,Majoritary (SAT),0.026999950408935547,10,2
183,Majoritary (SMT),0.5860352516174316,11,2
183,Sufficient (SAT),0.24796223640441895,11,2
183,Sufficient (SMT),0.8370373249053955,3,2
187,Direct,0.0009679794311523438,46,2
187,Majoritary (SAT),0.019039154052734375,6,2
187,Majoritary (SMT),0.63796067237854,10,2
187,Sufficient (SAT),0.24203252792358398,13,2
187,Sufficient (SMT),0.7359633445739746,6,2
188,Direct,0.001001596450805664,56,2
188,Majoritary (SAT),0.03099989891052246,9,2
188,Majoritary (SMT),0.6350350379943848,12,2
188,Sufficient (SAT),0.21699929237365723,6,2
188,Sufficient (SMT),0.7610025405883789,5,2
193,Direct,0.0010104179382324219,46,2
193,Majoritary (SAT),0.02099895477294922,8,2
193,Majoritary (SMT),0.6019847393035889,10,2
193,Sufficient (SAT),0.24303746223449707,9,2
193,Sufficient (SMT),0.6899640560150146,7,2
203,Direct,0.0,22,2
203,Majoritary (SAT),0.01999807357788086,6,2
203,Majoritary (SMT),0.5930018424987793,7,2
203,Sufficient (SAT),0.27703428268432617,9,2
203,Sufficient (SMT),0.6830008029937744,4,2
210,Direct,0.0010001659393310547,75,2
210,Majoritary (SAT),0.02296161651611328,7,2
210,Majoritary (SMT),0.6140024662017822,13,2
210,Sufficient (SAT),0.27399754524230957,13,2
210,Sufficient (SMT),0.8840014934539795,5,2
213,Direct,0.0010013580322265625,45,2
213,Majoritary (SAT),0.01903367042541504,8,2
213,Majoritary (SMT),0.6130077838897705,11,2
213,Sufficient (SAT),0.20096349716186523,9,2
213,Sufficient (SMT),0.7309918403625488,3,2
3,Direct,0.0010373592376708984,57,3
3,Majoritary (SAT),0.025004148483276367,8,3
3,Majoritary (SMT),0.5899612903594971,11,3
3,Sufficient (SAT),0.2400343418121338,9,3
3,Sufficient (SMT),0.7139649391174316,6,3
6,Direct,0.0,49,3
6,Majoritary (SAT),0.022011518478393555,8,3
6,Majoritary (SMT),0.5970015525817871,10,3
6,Sufficient (SAT),0.25299954414367676,8,3
6,Sufficient (SMT),0.701995849609375,5,3
8,Direct,0.0010023117065429688,51,3
8,Majoritary (SAT),0.04904460906982422,11,3
8,Majoritary (SMT),0.7029955387115479,12,3
8,Sufficient (SAT),0.25899386405944824,13,3
8,Sufficient (SMT),0.7339968681335449,5,3
12,Direct,0.0010020732879638672,47,3
12,Majoritary (SAT),0.028037071228027344,10,3
12,Majoritary (SMT),0.6079974174499512,12,3
12,Sufficient (SAT),0.2779989242553711,9,3
12,Sufficient (SMT),0.7030007839202881,5,3
17,Direct,0.0009992122650146484,58,3
17,Majoritary (SAT),0.03499960899353027,12,3
17,Majoritary (SMT),0.6100013256072998,12,3
17,Sufficient (SAT),0.26400160789489746,7,3
17,Sufficient (SMT),0.7009620666503906,6,3
24,Direct,0.0010349750518798828,72,3
24,Majoritary (SAT),0.014001846313476562,5,3
24,Majoritary (SMT),0.6040003299713135,13,3
24,Sufficient (SAT),0.26496171951293945,7,3
24,Sufficient (SMT),0.8459687232971191,6,3
37,Direct,0.0009975433349609375,55,3
37,Majoritary (SAT),0.034043073654174805,9,3
37,Majoritary (SMT),0.642993688583374,12,3
37,Sufficient (SAT),0.25896763801574707,6,3
37,Sufficient (SMT),0.7450311183929443,6,3
41,Direct,0.0010004043579101562,41,3
41,Majoritary (SAT),0.020001888275146484,8,3
41,Majoritary (SMT),0.5909619331359863,11,3
41,Sufficient (SAT),0.21503591537475586,6,3
41,Sufficient (SMT),0.6449687480926514,8,3
47,Direct,0.0009968280792236328,49,3
47,Majoritary (SAT),0.026003599166870117,10,3
47,Majoritary (SMT),0.5629947185516357,12,3
47,Sufficient (SAT),0.21700000762939453,9,3
47,Sufficient (SMT),0.8150453567504883,5,3
62,Direct,0.0,49,3
62,Majoritary (SAT),0.03399991989135742,7,3
62,Majoritary (SMT),0.8810019493103027,12,3
62,Sufficient (SAT),0.3679971694946289,13,3
62,Sufficient (SMT),0.9610333442687988,3,3
65,Direct,0.0009641647338867188,60,3
65,Majoritary (SAT),0.027036190032958984,8,3
65,Majoritary (SMT),0.6509993076324463,12,3
65,Sufficient (SAT),0.25000548362731934,9,3
65,Sufficient (SMT),0.8849568367004395,4,3
71,Direct,0.0009891986846923828,52,3
71,Majoritary (SAT),0.02599787712097168,10,3
